,CPU,GPU,hist_256,hist_1024
f23,0.0949514546116402,0.09550984705898681,0.09716897627193942,0.09507067117178844
f2,0.08604118308515403,0.08872032169349274,0.08701875672850662,0.0859557618609478
f10,0.07570498417648815,0.07666695291444416,0.07693988106640418,0.07667820097625772
f3,0.06705618670455304,0.0678325854728444,0.0675969805623467,0.06808147576721152
f25,0.06572633520483015,0.0651206930032003,0.06461246721975711,0.06432883874884686
f12,0.06283796463079158,0.06331752871979192,0.06307551244137183,0.06248709356698205
f16,0.060155423791647004,0.05984071823411735,0.06017496438363263,0.059687917612466196
f5,0.059355997171453526,0.059008820486106305,0.06075095331687455,0.05950072059020775
f21,0.051016519031245364,0.05102153097687902,0.050810548443337496,0.05023853636432464
f6,0.04866363213222308,0.04961461123227857,0.047803621738903325,0.04898219682527183
f15,0.04537508641222628,0.04359936202118119,0.0440028368804519,0.04453396243120566
f11,0.04389441890455376,0.0414255833744962,0.042898548216627856,0.043752152392225116
f26,0.040798067579771655,0.03973370155807208,0.040448490500487884,0.04052178467426715
f28,0.03749396248543101,0.03594693778331748,0.035468049085120135,0.036681986103542154
f7,0.03414761753485408,0.034478959713334686,0.033676048890943666,0.03410026105813627
f13,0.02969448194963146,0.030704717805906594,0.03021973387140618,0.030444296226539422
f24,0.0061878425859385544,0.006234210436497079,0.006110385415054276,0.006229966580337619
f22,0.0061779230126606365,0.006073621594610083,0.006161310536771735,0.006320077969610758
f18,0.006169246376180021,0.006210780675229203,0.006104747195171607,0.006205529051945932
f27,0.006127119514840087,0.00602108111633531,0.006047038689140885,0.006152343313155289
f8,0.006087403749546927,0.0061199330013771164,0.006087102905933665,0.006135162095293001
f31,0.006061491471335675,0.0060265068521381335,0.006148612632781942,0.006121190418274151
f9,0.006057362047837528,0.006032147549656748,0.00598774314878794,0.00607233730695581
f29,0.006056404069240381,0.006128490054047517,0.006188181891650905,0.006137377420966732
f20,0.006054853908435196,0.006148789433058985,0.00620103681045441,0.006251161658394909
f14,0.00605161227578095,0.0060099057433063985,0.005990414043108249,0.006071166867535544
f17,0.006044091938266512,0.006114389298886401,0.006006800785814737,0.00614500575557285
f1,0.006034627530709257,0.006141571834187854,0.006010747859120744,0.006211281240469439
f30,0.006030408299350317,0.006091861700113432,0.006127020483255234,0.006262339208518857
f19,0.0060205829646420884,0.006058509757948145,0.006105557910536495,0.0062225893691071855
f4,0.005989415173484861,0.006037562800347827,0.00605049471939218,0.0062914013127187375
f0,0.00593629967525639,0.0060077661038098855,0.006006435354913741,0.006125214060922696
