,CPU,GPU,hist_256,hist_1024
0,3086,2679,3065,3107
1,2921,2925,2863,2848
2,2953,2895,2997,2948
3,2941,2899,3105,2997
4,3075,2952,2943,3007
5,3136,2967,3199,3047
6,3005,3050,3215,2943
7,3006,3034,3010,3048
8,3037,2935,3073,3112
9,2909,2750,3067,2965
10,2837,2866,2754,2913
11,2841,2666,2770,2726
12,2494,2789,2583,2794
13,2706,2412,2726,2694
14,2595,2444,2685,2731
15,2553,2416,2735,2739
16,2352,2438,2627,2654
17,2148,2588,2443,2422
18,2398,2341,2316,2501
19,2468,2392,2131,2556
20,2467,2362,2376,2355
21,2270,1794,1665,2019
22,1944,1808,1659,2092
23,1835,1590,2025,1561
24,1881,1441,1934,1562
25,1789,1756,1788,1494
26,1421,1682,1600,1642
27,1248,1365,1509,1739
28,1299,1091,1302,1333
29,1560,1163,1578,1362
30,1247,1061,1328,1693
31,1262,1276,1402,1324
32,982,1447,1365,1191
33,1269,1490,1120,1073
34,1427,1215,1249,1666
35,977,794,1127,1359
36,995,855,1154,1155
37,1132,1009,1199,1020
38,718,992,838,651
39,764,1313,1271,1172
40,644,589,907,709
41,1053,669,765,572
42,1120,549,527,781
43,729,549,749,662
44,441,906,667,1202
45,525,472,871,509
46,726,321,859,1438
47,718,617,703,731
48,405,553,404,419
49,1102,921,727,1062
