,CPU,GPU,hist_256,hist_1024
0,0.636265,0.636325,0.636707,0.636261
1,0.588768,0.588749,0.588892,0.588467
2,0.548088,0.548293,0.548592,0.547886
3,0.51287,0.512915,0.513577,0.513102
4,0.481985,0.4821,0.482934,0.482316
5,0.455133,0.455242,0.456305,0.455616
6,0.431375,0.431502,0.43286,0.431994
7,0.410361,0.410708,0.41115,0.411
8,0.391116,0.392172,0.392613,0.392091
9,0.374101,0.374758,0.375214,0.374703
10,0.357758,0.359519,0.360486,0.359945
11,0.34439,0.346189,0.346106,0.345206
12,0.33161,0.332928,0.333248,0.33237
13,0.32026,0.320761,0.322373,0.320297
14,0.309472,0.31003,0.31153,0.310237
15,0.30016,0.300601,0.302355,0.300504
16,0.291964,0.292125,0.293651,0.291478
17,0.284315,0.284469,0.28604,0.283906
18,0.276986,0.277416,0.278779,0.277027
19,0.269776,0.270753,0.271901,0.270422
20,0.263582,0.264685,0.265734,0.264292
21,0.258021,0.259189,0.260166,0.258891
22,0.252403,0.254254,0.255494,0.253609
23,0.248002,0.249857,0.249988,0.249138
24,0.242958,0.24477,0.245293,0.244245
25,0.238579,0.240251,0.240811,0.239639
26,0.234234,0.236598,0.236683,0.235852
27,0.230792,0.232736,0.233156,0.232601
28,0.227312,0.229689,0.229918,0.229529
29,0.224237,0.226571,0.226588,0.226154
30,0.221531,0.22383,0.223664,0.222987
31,0.21828,0.220666,0.220837,0.220232
32,0.215493,0.217826,0.217668,0.217665
33,0.212736,0.215215,0.21525,0.21547
34,0.210204,0.213196,0.213166,0.213037
35,0.208025,0.210988,0.211075,0.210031
36,0.205598,0.208124,0.209052,0.207443
37,0.203566,0.206114,0.206569,0.205483
38,0.201502,0.203963,0.204156,0.203683
39,0.199435,0.201898,0.202902,0.202386
40,0.19834,0.200798,0.201225,0.201232
41,0.19746,0.199351,0.200143,0.199939
42,0.196281,0.19844,0.199289,0.198907
43,0.195426,0.197281,0.198054,0.197494
44,0.194401,0.196218,0.197372,0.196549
45,0.19307,0.195346,0.196266,0.195506
46,0.192154,0.194343,0.195231,0.194298
47,0.191656,0.193738,0.19447,0.193552
48,0.191,0.192528,0.193321,0.192926
49,0.190273,0.191335,0.192734,0.192361
