n_train,max_depth,CPU,GPU,hist_256,hist_1024
10000,5,0.402113,0.407537,0.404269,0.400673
10000,15,0.307425,0.312878,0.317323,0.312724
100000,5,0.433346,0.436521,0.433542,0.436064
100000,15,0.267237,0.269054,0.268853,0.265542
1000000,5,0.437261,0.436996,0.438343,0.437198
1000000,15,0.222522,0.221738,0.222125,0.220999
2000000,5,0.494666,0.492756,0.490295,0.494902
2000000,15,0.228363,0.228511,0.230719,0.228252
4000000,5,0.458197,0.455365,0.457242,0.456809
4000000,15,0.230049,0.230492,0.230559,0.231135
