n_train,max_depth,CPU,GPU,hist_256,hist_1024
10000,5,0.3242793083190918,0.32162928581237793,0.6269485950469971,2.4549179077148438
10000,15,0.8277773857116699,1.5507376194000244,5.990826845169067,21.392701148986816
100000,5,3.3469862937927246,1.0241138935089111,1.29514741897583,3.466036319732666
100000,15,10.130833148956299,4.659424066543579,26.910778999328613,102.0087718963623
1000000,5,39.38322424888611,16.315192699432373,6.622316122055054,9.691990852355957
1000000,15,134.81026697158813,44.69446682929993,114.35222697257996,417.85927844047546
2000000,5,107.18719387054443,35.98860740661621,12.371522426605225,16.061877012252808
2000000,15,359.464759349823,101.80160856246948,124.78115367889404,427.86904644966125
4000000,5,257.7824957370758,78.42147946357727,23.755999326705933,30.463950395584106
4000000,15,950.3369977474213,227.58182454109192,218.62911915779114,684.5952792167664
