,EQBIN_dw,EQBIN_lg
f18,0.07132609764356722,0.061189762563240144
f19,0.0636706580377293,0.05586204233403406
f8,0.06055813310641803,0.05146405029121506
f3,0.059082636521691996,0.04969797210567119
f9,0.05849476186837543,0.062469725484034455
f24,0.057751468063956986,0.04774591352843581
f16,0.05529507646151403,0.0572730571204012
f13,0.05389178174643162,0.05571907800754012
f21,0.053814184516694355,0.046499617271560316
f4,0.05175776725242339,0.05306337459379291
f22,0.0516720282922417,0.047303642120673506
f15,0.047270705818931225,0.05277435222178237
f6,0.04329950481979782,0.04020421733963491
f30,0.04313743839473402,0.04543939056712797
f29,0.04008661391318538,0.04086219309984686
f27,0.03818105558486799,0.0371656125938142
f26,0.014212009835593477,0.011090981353141747
f10,0.013428454514383391,0.012972784037916794
f7,0.011962175442311271,0.011367334335871176
f23,0.010975258945616679,0.013106352400201582
f1,0.01051457699458841,0.012250480351777863
f28,0.009994846904629956,0.0129269174426512
f5,0.009789112147297123,0.012206672355752433
f17,0.009604818073690914,0.009918013144102601
f14,0.008869228162720757,0.01217584940480352
f31,0.008718947578868604,0.013125275195046377
f2,0.008364854861168279,0.011171345823769281
f20,0.00830050336302892,0.009338847308078112
f12,0.00725843360928726,0.011525738239032187
f11,0.006972166242577278,0.01412351800037174
f0,0.0063620860296261525,0.012246695444130172
f25,0.005382615252051371,0.015719193920548182
