,hist_dw,hist_lg
0,814,814
1,765,765
2,844,844
3,794,794
4,845,845
5,880,880
6,866,866
7,877,877
8,800,800
9,864,864
10,897,897
11,840,840
12,866,866
13,753,753
14,897,897
15,845,845
16,875,875
17,842,842
18,768,768
19,856,856
20,906,906
21,836,836
22,827,827
23,900,900
24,852,852
25,730,730
26,688,688
27,872,872
28,794,794
29,732,732
30,895,895
31,710,710
32,900,900
33,671,671
34,926,926
35,744,744
36,799,799
37,910,910
38,647,647
39,953,953
40,919,919
41,883,883
42,576,576
43,679,679
44,708,708
45,892,892
46,938,938
47,919,919
48,901,901
49,843,843
