,EQBIN_dw,EQBIN_lg
0,0.668253,0.664157
1,0.647942,0.640473
2,0.629007,0.617976
3,0.611056,0.598281
4,0.595727,0.580792
5,0.583065,0.562754
6,0.570297,0.547744
7,0.559424,0.532909
8,0.546306,0.51863
9,0.536682,0.505761
10,0.526351,0.493081
11,0.517528,0.482125
12,0.510115,0.471533
13,0.501064,0.462123
14,0.491933,0.452359
15,0.484412,0.444087
16,0.4756,0.435623
17,0.467727,0.427162
18,0.461096,0.419941
19,0.455217,0.412781
20,0.447851,0.405137
21,0.441838,0.399185
22,0.437822,0.392583
23,0.432314,0.387181
24,0.42809,0.381424
25,0.423263,0.377824
26,0.41843,0.374172
27,0.415611,0.370737
28,0.410866,0.36622
29,0.407633,0.362737
30,0.403232,0.357754
31,0.399922,0.354355
32,0.395529,0.35087
33,0.390598,0.347419
34,0.386863,0.343186
35,0.384065,0.340466
36,0.380494,0.337877
37,0.377559,0.335657
38,0.374487,0.332873
39,0.371889,0.329155
40,0.369657,0.327094
41,0.366501,0.324017
42,0.364411,0.32006
43,0.361564,0.317312
44,0.358815,0.314615
45,0.356288,0.311826
46,0.353284,0.309087
47,0.350004,0.305986
48,0.348091,0.303322
49,0.346736,0.30002
