,hist_dw,hist_lg
0,0.66186,0.656388
1,0.635154,0.624628
2,0.612283,0.597342
3,0.590051,0.573521
4,0.570149,0.552816
5,0.554398,0.533871
6,0.538804,0.516167
7,0.524158,0.500795
8,0.510999,0.4875
9,0.50141,0.474329
10,0.490305,0.462555
11,0.481238,0.451955
12,0.471415,0.442388
13,0.464571,0.433012
14,0.457326,0.424859
15,0.450739,0.417145
16,0.444169,0.409754
17,0.437562,0.403293
18,0.431375,0.396954
19,0.427187,0.391078
20,0.422462,0.385533
21,0.41835,0.380475
22,0.413177,0.375448
23,0.408409,0.370815
24,0.404132,0.366311
25,0.401278,0.362101
26,0.396829,0.357641
27,0.3935,0.35372
28,0.390267,0.349878
29,0.388512,0.346482
30,0.386701,0.3431
31,0.384069,0.33995
32,0.380863,0.337031
33,0.379776,0.333917
34,0.378404,0.330988
35,0.373807,0.328435
36,0.371932,0.325973
37,0.370837,0.323616
38,0.369314,0.321427
39,0.368375,0.319404
40,0.367302,0.317487
41,0.365672,0.315874
42,0.364752,0.314533
43,0.36329,0.312754
44,0.362581,0.311186
45,0.361056,0.309619
46,0.359043,0.308088
47,0.35857,0.306974
48,0.35727,0.305605
49,0.355964,0.304119
