n_train,num_leaves,max_depth,hist_dw,hist_lg
10000,256,10,9973,10157
10000,256,15,12624,12607
10000,256,20,12800,12800
10000,1024,10,11701,11701
10000,1024,15,20467,20467
10000,1024,20,22594,22594
10000,4096,15,20467,20467
10000,4096,20,22594,22594
100000,256,10,12359,12098
100000,256,15,12800,12800
100000,256,20,12800,12800
100000,1024,10,23989,23989
100000,1024,15,48157,47753
100000,1024,20,51120,51200
100000,4096,15,92975,92975
100000,4096,20,155657,154534
1000000,256,10,12800,12800
1000000,256,15,12800,12800
1000000,256,20,12800,12800
1000000,1024,10,39836,39836
1000000,1024,15,51200,51200
1000000,1024,20,51200,51200
1000000,4096,15,196551,201731
1000000,4096,20,204800,204800
2000000,256,10,12800,12800
2000000,256,15,12800,12800
2000000,256,20,12800,12800
2000000,1024,10,41338,41338
2000000,1024,15,51200,51200
2000000,1024,20,51200,51200
2000000,4096,15,204326,204792
2000000,4096,20,204800,204800
4000000,256,10,12800,12800
4000000,256,15,12800,12800
4000000,256,20,12800,12800
4000000,1024,10,44867,44867
4000000,1024,15,51200,51200
4000000,1024,20,51200,51200
4000000,4096,15,202756,201534
4000000,4096,20,204800,204800
