n_train,num_leaves,max_depth,hist_dw,hist_lg
10000,256,10,0.317262,0.321215
10000,256,15,0.304909,0.309874
10000,256,20,0.307062,0.306471
10000,1024,10,0.314981,0.314981
10000,1024,15,0.317323,0.317323
10000,1024,20,0.311093,0.311093
10000,4096,15,0.317323,0.317323
10000,4096,20,0.311093,0.311093
100000,256,10,0.335095,0.311127
100000,256,15,0.331995,0.288789
100000,256,20,0.331995,0.284614
100000,1024,10,0.304945,0.304945
100000,1024,15,0.279513,0.265067
100000,1024,20,0.276912,0.257927
100000,4096,15,0.268853,0.268853
100000,4096,20,0.258504,0.257769
1000000,256,10,0.334382,0.305321
1000000,256,15,0.334382,0.286595
1000000,256,20,0.334382,0.280383
1000000,1024,10,0.286576,0.286576
1000000,1024,15,0.27618,0.241835
1000000,1024,20,0.27618,0.232979
1000000,4096,15,0.233531,0.221358
1000000,4096,20,0.230997,0.209613
2000000,256,10,0.383377,0.330843
2000000,256,15,0.383377,0.299471
2000000,256,20,0.383377,0.293946
2000000,1024,10,0.312246,0.312246
2000000,1024,15,0.316449,0.249459
2000000,1024,20,0.316449,0.240853
2000000,4096,15,0.244218,0.225902
2000000,4096,20,0.245254,0.210388
4000000,256,10,0.358856,0.336697
4000000,256,15,0.358856,0.31414
4000000,256,20,0.358856,0.307688
4000000,1024,10,0.311227,0.311227
4000000,1024,15,0.310096,0.262091
4000000,1024,20,0.310096,0.255728
4000000,4096,15,0.25822,0.23575
4000000,4096,20,0.257632,0.218589
