n_train,num_leaves,max_depth,hist_dw,hist_lg
10000,256,10,3.157886505126953,3.1344857215881348
10000,256,15,3.7877609729766846,3.827522039413452
10000,256,20,3.8069024085998535,3.9143359661102295
10000,1024,10,3.5441482067108154,3.4396018981933594
10000,1024,15,5.563169479370117,5.467069149017334
10000,1024,20,5.98576021194458,5.940565347671509
10000,4096,15,5.584443807601929,5.461938142776489
10000,4096,20,6.0357701778411865,5.975276947021484
100000,256,10,5.020698547363281,5.307635307312012
100000,256,15,5.1668641567230225,6.072206020355225
100000,256,20,5.0761494636535645,5.991548776626587
100000,1024,10,8.608946084976196,8.546745538711548
100000,1024,15,15.31931757926941,16.139235496520996
100000,1024,20,15.95351529121399,18.112945795059204
100000,4096,15,26.849218368530273,26.265896320343018
100000,4096,20,41.98286199569702,40.53912878036499
1000000,256,10,12.7579927444458,14.197059631347656
1000000,256,15,13.663439512252808,16.13650941848755
1000000,256,20,13.07406210899353,15.42284631729126
1000000,1024,10,23.650151014328003,23.365663766860962
1000000,1024,15,28.711042165756226,31.751980543136597
1000000,1024,20,27.688912868499756,31.924272298812866
1000000,4096,15,71.28627133369446,77.17132210731506
1000000,4096,20,73.14253187179565,83.20065784454346
2000000,256,10,20.471803188323975,22.391767263412476
2000000,256,15,19.702754497528076,24.744996309280396
2000000,256,20,19.708237648010254,26.030999660491943
2000000,1024,10,32.791059732437134,32.72399687767029
2000000,1024,15,36.38356924057007,42.94957637786865
2000000,1024,20,35.494317054748535,44.69256091117859
2000000,4096,15,86.197274684906,92.57543516159058
2000000,4096,20,86.10518145561218,101.09100317955017
4000000,256,10,36.18510413169861,39.94925355911255
4000000,256,15,36.99132537841797,44.49783682823181
4000000,256,20,36.291568756103516,46.61537313461304
4000000,1024,10,53.48235535621643,53.86109805107117
4000000,1024,15,55.83819580078125,65.69832992553711
4000000,1024,20,57.096145153045654,68.06793785095215
4000000,4096,15,111.77584505081177,123.41907739639282
4000000,4096,20,112.33854103088379,131.8309304714203
