n_train,num_leaves,max_depth,hist_dw,hist_lg
10000,256,10,601.2022855132202,628.4855111507601
10000,256,15,716.5172739546999,769.50659390052
10000,256,20,724.535657801778,789.1714696263454
10000,1024,10,690.9306429483299,690.9306429483299
10000,1024,15,1066.2748325875298,1066.2748325875298
10000,1024,20,1143.40721160566,1143.40721160566
10000,4096,15,1066.2748325875298,1066.2748325875298
10000,4096,20,1143.40721160566,1143.40721160566
100000,256,10,865.4679925463,886.4272603042
100000,256,15,889.10649314161,920.2794959830999
100000,256,20,889.10649314161,907.92664173605
100000,1024,10,1632.5336921733503,1632.5336921733503
100000,1024,15,3010.9564697957853,3312.39585702123
100000,1024,20,3163.541078243799,3588.2225210794
100000,4096,15,5486.579991279549,5486.579991279549
100000,4096,20,8181.914537640053,8174.159084487722
1000000,256,10,948.9724711462401,909.2315866244003
1000000,256,15,948.9724711462401,843.4634089737509
1000000,256,20,948.9724711462401,811.5428585961898
1000000,1024,10,2898.86260371492,2898.86260371492
1000000,1024,15,3663.4570964903273,3675.9451830971
1000000,1024,20,3663.4570964903273,3533.9076559944306
1000000,4096,15,13127.941792289603,14658.401346044388
1000000,4096,20,13635.25053392402,15084.51619647987
2000000,256,10,998.5349137947999,934.8459843594101
2000000,256,15,998.5349137947999,833.1136267320002
2000000,256,20,998.5349137947999,813.9965692732102
2000000,1024,10,3123.797409081117,3123.797409081117
2000000,1024,15,3804.70305197367,3664.0663112157895
2000000,1024,20,3804.70305197367,3507.758683119601
2000000,4096,15,14007.665322183075,15575.827081036708
2000000,4096,20,14018.033472868536,15329.447791708375
4000000,256,10,944.38540248819,881.596185954105
4000000,256,15,944.38540248819,805.1854662543328
4000000,256,20,944.38540248819,773.6184236264303
4000000,1024,10,3358.416758216378,3358.416758216378
4000000,1024,15,3839.90958919899,3467.3595363953086
4000000,1024,20,3839.90958919899,3337.2518208587703
4000000,4096,15,14459.585849500796,14933.88209423913
4000000,4096,20,14602.094558666822,14303.135760192392
