,mlogloss,n_estimators,n_train,reg_lambda,seed
0,0.44108146385,114,10000,0.4,100
1,0.441543536867,114,10000,0.4,101
2,0.441673080446,114,10000,0.4,102
3,0.436548765252,129,10000,0.8,100
4,0.439286165192,129,10000,0.8,101
5,0.438878615747,129,10000,0.8,102
6,0.437309507663,136,10000,1.6,100
7,0.439164309364,136,10000,1.6,101
8,0.435537891308,136,10000,1.6,102
9,0.437428489235,160,10000,3.2,100
10,0.43595170643,160,10000,3.2,101
11,0.435260480412,160,10000,3.2,102
12,0.436023385042,179,10000,6.4,100
13,0.436631958857,179,10000,6.4,101
14,0.436817966585,179,10000,6.4,102
15,0.436051089092,240,10000,12.8,100
16,0.435072982768,240,10000,12.8,101
17,0.436393707287,240,10000,12.8,102
18,0.437812506817,313,10000,25.6,100
19,0.438078921029,313,10000,25.6,101
20,0.438599605494,313,10000,25.6,102
21,0.440917400524,471,10000,51.2,100
22,0.441211404487,471,10000,51.2,101
23,0.440879297363,471,10000,51.2,102
24,0.353250850064,176,20000,0.4,100
25,0.353455244076,176,20000,0.4,101
26,0.352496933688,176,20000,0.4,102
27,0.352856055003,186,20000,0.8,100
28,0.351044394594,186,20000,0.8,101
29,0.352123318832,186,20000,0.8,102
30,0.348012603197,223,20000,1.6,100
31,0.34837092458,223,20000,1.6,101
32,0.348483858126,223,20000,1.6,102
33,0.348319878674,233,20000,3.2,100
34,0.348463674734,233,20000,3.2,101
35,0.348465967216,233,20000,3.2,102
36,0.347747997981,305,20000,6.4,100
37,0.346462290597,305,20000,6.4,101
38,0.345335689804,305,20000,6.4,102
39,0.347097081365,363,20000,12.8,100
40,0.346639883404,363,20000,12.8,101
41,0.346433912698,363,20000,12.8,102
42,0.348165689952,466,20000,25.6,100
43,0.347884389577,466,20000,25.6,101
44,0.349033832583,466,20000,25.6,102
45,0.351288921552,631,20000,51.2,100
46,0.350665801001,631,20000,51.2,101
47,0.351671327171,631,20000,51.2,102
48,0.267526939724,325,40000,0.4,100
49,0.266860940108,325,40000,0.4,101
50,0.268186921212,325,40000,0.4,102
51,0.266400201502,351,40000,0.8,100
52,0.265426393082,351,40000,0.8,101
53,0.266486496313,351,40000,0.8,102
54,0.262649850055,396,40000,1.6,100
55,0.263818404541,396,40000,1.6,101
56,0.264364164344,396,40000,1.6,102
57,0.262593455845,437,40000,3.2,100
58,0.26175642865,437,40000,3.2,101
59,0.263476059167,437,40000,3.2,102
60,0.261857830228,500,40000,6.4,100
61,0.261553318009,500,40000,6.4,101
62,0.262316946564,500,40000,6.4,102
63,0.262005128664,592,40000,12.8,100
64,0.263014064378,592,40000,12.8,101
65,0.263229246574,592,40000,12.8,102
66,0.263919098281,773,40000,25.6,100
67,0.26406366618,773,40000,25.6,101
68,0.264411494949,773,40000,25.6,102
69,0.266812867289,940,40000,51.2,100
70,0.267153861556,940,40000,51.2,101
71,0.267190358654,940,40000,51.2,102
