,mlogloss,n_estimators,n_train,reg_alpha,reg_lambda,seed
0,0.439421769082,109,10000,0.16,0,100
1,0.440230497736,109,10000,0.16,0,101
2,0.439011926408,109,10000,0.16,0,102
3,0.43846277295,116,10000,0.32,0,100
4,0.437347889243,116,10000,0.32,0,101
5,0.438193615748,116,10000,0.32,0,102
6,0.434895303015,132,10000,0.64,0,100
7,0.436317082827,132,10000,0.64,0,101
8,0.436530643747,132,10000,0.64,0,102
9,0.437210607844,153,10000,1.28,0,100
10,0.437104744684,153,10000,1.28,0,101
11,0.43727269143,153,10000,1.28,0,102
12,0.441292818355,248,10000,2.56,0,100
13,0.441215421927,248,10000,2.56,0,101
14,0.440514482685,248,10000,2.56,0,102
15,0.456226532921,323,10000,5.12,0,100
16,0.455011118679,323,10000,5.12,0,101
17,0.453462902684,323,10000,5.12,0,102
18,0.479546988575,771,10000,10.24,0,100
19,0.477758618407,771,10000,10.24,0,101
20,0.477763885618,771,10000,10.24,0,102
21,0.350175769764,185,20000,0.16,0,100
22,0.348363916136,185,20000,0.16,0,101
23,0.350897523096,185,20000,0.16,0,102
24,0.347490335562,192,20000,0.32,0,100
25,0.345861905494,192,20000,0.32,0,101
26,0.346991296734,192,20000,0.32,0,102
27,0.344490511209,217,20000,0.64,0,100
28,0.345743972202,217,20000,0.64,0,101
29,0.34456960654,217,20000,0.64,0,102
30,0.347146527197,231,20000,1.28,0,100
31,0.345927888237,231,20000,1.28,0,101
32,0.346455000671,231,20000,1.28,0,102
33,0.351108328909,370,20000,2.56,0,100
34,0.350804575429,370,20000,2.56,0,101
35,0.351686039013,370,20000,2.56,0,102
36,0.362260516872,710,20000,5.12,0,100
37,0.361737353446,710,20000,5.12,0,101
38,0.36202239932,710,20000,5.12,0,102
39,0.389500861808,989,20000,10.24,0,100
40,0.38945933918,989,20000,10.24,0,101
41,0.389930104062,989,20000,10.24,0,102
42,0.264097535172,346,40000,0.16,0,100
43,0.263050511891,346,40000,0.16,0,101
44,0.265241952948,346,40000,0.16,0,102
45,0.25976920573,356,40000,0.32,0,100
46,0.260590628474,356,40000,0.32,0,101
47,0.261315928723,356,40000,0.32,0,102
48,0.258608389769,356,40000,0.64,0,100
49,0.258369249624,356,40000,0.64,0,101
50,0.258360467009,356,40000,0.64,0,102
51,0.25929976805,433,40000,1.28,0,100
52,0.260201809588,433,40000,1.28,0,101
53,0.259261922575,433,40000,1.28,0,102
54,0.265229774876,546,40000,2.56,0,100
55,0.26468409848,546,40000,2.56,0,101
56,0.265388061849,546,40000,2.56,0,102
57,0.277241572071,993,40000,5.12,0,100
58,0.276955428296,993,40000,5.12,0,101
59,0.276411501964,993,40000,5.12,0,102
60,0.307331512139,996,40000,10.24,0,100
61,0.307236933425,996,40000,10.24,0,101
62,0.307356636873,996,40000,10.24,0,102
