,leaf_cnt,leaf_val,logloss,n_estimators,n_train,reg_alpha,reg_lambda,seed
0,143.435897436,0.0699314680288,0.323561733361,117,10000,0.08,0.0,234
1,137.35042735,0.0702098292616,0.32707738833,117,10000,0.08,0.0,235
2,138.58974359,0.0707532239685,0.323950993915,117,10000,0.08,0.0,236
3,137.299145299,0.0705426877615,0.322734064401,117,10000,0.08,0.0,237
4,136.85,0.0612924834403,0.322083812881,140,10000,0.16,0.0,234
5,135.971428571,0.0609791379418,0.323197378885,140,10000,0.16,0.0,235
6,137.192857143,0.0607941916536,0.323474254533,140,10000,0.16,0.0,236
7,130.892857143,0.0612689466557,0.321015136164,140,10000,0.16,0.0,237
8,147.454545455,0.0571456180714,0.32330080071,110,10000,0.32,0.0,234
9,147.763636364,0.0566693375008,0.320639170266,110,10000,0.32,0.0,235
10,150.572727273,0.0568896858669,0.321618277271,110,10000,0.32,0.0,236
11,147.436363636,0.0570519587066,0.321908933473,110,10000,0.32,0.0,237
12,156.030534351,0.0410433766667,0.322116411626,131,10000,0.64,0.0,234
13,154.511450382,0.0411617123593,0.321911735776,131,10000,0.64,0.0,235
14,156.229007634,0.0408536992446,0.322885470435,131,10000,0.64,0.0,236
15,157.458015267,0.040811404638,0.320822266335,131,10000,0.64,0.0,237
16,164.93006993,0.0265471582657,0.323883113017,143,10000,1.28,0.0,234
17,158.622377622,0.0270169554311,0.32189365286,143,10000,1.28,0.0,235
18,167.398601399,0.0264814291403,0.320711459848,143,10000,1.28,0.0,236
19,162.902097902,0.0266442894068,0.320874216178,143,10000,1.28,0.0,237
20,138.563451777,0.0144148986483,0.323279597708,197,10000,2.56,0.0,234
21,138.92893401,0.0144319221968,0.322318077513,197,10000,2.56,0.0,235
22,140.741116751,0.0142823925772,0.325346001789,197,10000,2.56,0.0,236
23,140.152284264,0.0143820719841,0.321530404787,197,10000,2.56,0.0,237
24,86.409495549,0.00712221073602,0.329725568516,337,10000,5.12,0.0,234
25,85.9910979228,0.0071277598222,0.330227016795,337,10000,5.12,0.0,235
26,86.6201780415,0.0071734313899,0.330464373881,337,10000,5.12,0.0,236
27,86.2255192878,0.0071182687606,0.331303417865,337,10000,5.12,0.0,237
28,129.506666667,0.0564834460172,0.321566824761,150,10000,0.0,0.4,234
29,132.346666667,0.0565401363443,0.321730606798,150,10000,0.0,0.4,235
30,130.26,0.0566834403895,0.323100840684,150,10000,0.0,0.4,236
31,127.893333333,0.0571750648948,0.324101240013,150,10000,0.0,0.4,237
32,137.610738255,0.0484560819639,0.325119102213,149,10000,0.0,0.8,234
33,132.758389262,0.0489663922994,0.320024353924,149,10000,0.0,0.8,235
34,131.838926174,0.0486001076153,0.323576049098,149,10000,0.0,0.8,236
35,132.691275168,0.0488965331658,0.322972287879,149,10000,0.0,0.8,237
36,133.395721925,0.0365805282942,0.319939556372,187,10000,0.0,1.6,234
37,132.625668449,0.0369049961555,0.321318353368,187,10000,0.0,1.6,235
38,131.155080214,0.0365255794073,0.321997204868,187,10000,0.0,1.6,236
39,131.368983957,0.0368566320246,0.322090844292,187,10000,0.0,1.6,237
40,137.015151515,0.0277016203567,0.321690205726,198,10000,0.0,3.2,234
41,140.45959596,0.027533989374,0.321732260223,198,10000,0.0,3.2,235
42,138.196969697,0.027686062311,0.320321226403,198,10000,0.0,3.2,236
43,139.757575758,0.0276958724956,0.320060926558,198,10000,0.0,3.2,237
44,145.907949791,0.0191113490391,0.322037645305,239,10000,0.0,6.4,234
45,147.263598326,0.0190895026877,0.320063788035,239,10000,0.0,6.4,235
46,149.242677824,0.018838083756,0.320339837936,239,10000,0.0,6.4,236
47,149.179916318,0.0189333299914,0.324146832769,239,10000,0.0,6.4,237
48,153.566666667,0.0118508496131,0.322824470325,330,10000,0.0,12.8,234
49,155.163636364,0.0118363651667,0.322048908143,330,10000,0.0,12.8,235
50,152.433333333,0.011841560505,0.322704296013,330,10000,0.0,12.8,236
51,153.218181818,0.0118729885047,0.323811674867,330,10000,0.0,12.8,237
52,159.874418605,0.00732409362386,0.324690427023,430,10000,0.0,25.6,234
53,158.311627907,0.00737280870058,0.324895448268,430,10000,0.0,25.6,235
54,159.465116279,0.00734317418285,0.325855706325,430,10000,0.0,25.6,236
55,159.553488372,0.00734787212826,0.326291165624,430,10000,0.0,25.6,237
56,159.994957983,0.00434573278886,0.327016597865,595,10000,0.0,51.2,234
57,158.655462185,0.00437512965815,0.328314266727,595,10000,0.0,51.2,235
58,161.598319328,0.00433772317957,0.328120704034,595,10000,0.0,51.2,236
59,160.546218487,0.0043677342159,0.328738056494,595,10000,0.0,51.2,237
60,132.503649635,0.0675761388962,0.316798432537,137,10000,0.08,0.0,234
61,130.109489051,0.0672020208837,0.320408196648,137,10000,0.08,0.0,235
62,129.240875912,0.0673656279191,0.318325397638,137,10000,0.08,0.0,236
63,131.416058394,0.0670024989059,0.316657648067,137,10000,0.08,0.0,237
64,131.014084507,0.0610091128599,0.316876777377,142,10000,0.16,0.0,234
65,131.683098592,0.0604861904911,0.315584277685,142,10000,0.16,0.0,235
66,130.76056338,0.0614493306222,0.316808754612,142,10000,0.16,0.0,236
67,129.176056338,0.0612412837581,0.317262625532,142,10000,0.16,0.0,237
68,141.677419355,0.0545148146799,0.315483875203,124,10000,0.32,0.0,234
69,138.806451613,0.0549589202674,0.316811306642,124,10000,0.32,0.0,235
70,139.685483871,0.0549842782432,0.317147092328,124,10000,0.32,0.0,236
71,141.185483871,0.0542409189414,0.31606495517,124,10000,0.32,0.0,237
72,147.730263158,0.0384034737045,0.316048391855,152,10000,0.64,0.0,234
73,147.217105263,0.0384708059598,0.315411159936,152,10000,0.64,0.0,235
74,145.223684211,0.0389231869677,0.314996030824,152,10000,0.64,0.0,236
75,148.519736842,0.0382815991191,0.313011278713,152,10000,0.64,0.0,237
76,156.981927711,0.0249298697655,0.313421599444,166,10000,1.28,0.0,234
77,153.981927711,0.0248526796224,0.315655553696,166,10000,1.28,0.0,235
78,157.831325301,0.0245625920312,0.315277378127,166,10000,1.28,0.0,236
79,156.240963855,0.0244678574654,0.315079145675,166,10000,1.28,0.0,237
80,133.184331797,0.0137637245817,0.32022884278,217,10000,2.56,0.0,234
