,8,9,10,11,12
0,251,487,896,1546,2502
1,252,484,897,1591,2528
2,256,497,904,1577,2514
3,256,494,938,1582,2592
4,255,495,915,1559,2462
5,254,497,911,1559,2558
6,252,478,894,1561,2579
7,254,491,881,1544,2473
8,255,499,895,1492,2352
9,246,487,901,1527,2361
10,252,493,867,1510,2331
11,252,489,881,1518,2410
12,255,470,890,1502,2384
13,251,484,899,1508,2275
14,253,491,841,1444,2472
15,246,477,880,1415,2310
16,253,478,814,1427,2260
17,256,486,866,1383,2222
18,250,456,836,1463,2221
19,244,486,818,1381,2132
20,241,482,877,1326,1934
21,256,429,781,1462,1974
22,240,451,847,1558,2357
23,236,483,752,1409,2159
24,246,452,907,1535,1773
25,242,463,788,1112,2310
26,240,412,735,1476,2204
27,253,475,684,1113,2097
28,220,392,812,1012,2247
29,225,400,673,1188,1552
30,236,418,808,1427,1205
31,253,480,673,1009,1504
32,229,413,673,1277,1910
33,250,413,815,649,1397
34,198,464,753,1024,951
35,250,255,650,1331,2005
36,218,467,381,1099,1494
37,237,378,798,615,849
38,241,431,695,1211,1818
39,249,236,384,478,1096
40,253,429,448,1260,922
41,206,242,765,745,1985
42,173,296,507,1158,1584
43,162,349,775,971,650
44,228,271,569,445,1538
45,181,331,356,1276,1354
46,153,375,546,971,625
47,218,418,411,869,823
48,217,346,322,477,1671
49,165,399,568,713,1712
50,160,443,604,1323,548
51,240,339,349,894,1154
52,249,450,423,970,807
53,209,199,784,502,859
54,242,228,647,405,1129
55,121,301,640,1159,1752
56,196,367,289,993,1017
57,224,236,747,496,751
58,160,345,815,423,1361
59,145,419,322,950,1529
60,221,356,632,471,651
61,225,345,575,558,425
62,241,180,378,504,1338
63,146,275,570,1014,1449
64,175,386,344,976,381
65,248,189,243,471,821
66,203,335,728,1211,687
67,219,387,401,1286,821
68,143,271,445,573,628
69,206,360,715,459,2079
70,158,217,568,435,911
71,187,441,371,951,1441
72,138,178,566,1292,1898
73,193,330,399,565,1878
74,136,203,406,1086,523
75,171,440,459,1194,571
76,207,367,262,404,844
77,163,453,720,746,1125
78,254,162,532,1235,1655
79,180,326,385,751,461
80,184,462,876,670,1424
81,138,235,795,1253,1772
82,180,285,705,1118,1949
83,228,296,437,797,903
84,162,294,266,365,1769
85,153,458,517,605,1672
86,216,324,447,892,332
87,245,450,752,255,985
88,129,280,250,1075,445
89,121,351,512,950,1065
90,192,420,723,1141,1825
91,208,417,322,285,1654
92,249,160,667,394,461
93,119,317,297,688,1869
94,140,461,380,372,400
95,211,402,210,312,1751
96,196,419,754,1089,1500
97,249,253,546,1096,1645
98,253,134,368,1205,758
99,218,366,549,1186,566
100,217,274,141,756,1143
101,237,472,664,723,311
102,234,390,685,357,1943
103,142,153,353,383,1809
104,116,203,321,212,843
105,186,367,318,1174,1806
106,237,284,602,977,1513
107,171,352,750,540,375
108,221,465,748,287,681
109,236,431,707,483,1288
110,235,166,193,1024,1142
111,112,272,314,1070,373
112,181,402,416,1086,1372
113,186,156,479,766,1793
114,111,388,664,493,1640
115,202,367,304,1122,465
116,222,321,481,972,789
117,237,257,725,271,346
118,222,403,740,317,1617
119,202,150,166,1102,387
120,247,364,427,268,1941
121,112,474,715,848,1762
122,99,159,205,573,404
123,244,250,462,242,1054
124,229,319,250,684,394
125,227,377,732,969,299
126,171,306,606,274,1769
127,237,306,211,490,980
128,146,392,650,930,868
129,149,257,429,231,1770
130,132,412,486,386,346
131,136,370,568,948,427
132,196,215,252,1075,733
133,88,329,613,996,1645
134,246,274,222,861,869
135,162,348,184,231,1838
136,239,393,322,392,215
137,227,400,615,367,1147
138,151,116,774,446,1734
139,250,156,449,870,1563
140,251,286,425,297,291
141,113,381,316,298,1371
142,195,345,298,806,258
143,200,113,747,607,328
144,184,182,232,1014,463
145,205,449,394,458,602
146,204,393,246,951,1230
147,144,373,563,308,1607
148,91,431,790,211,1005
149,126,187,418,230,421
150,111,382,151,791,1159
151,172,288,649,1379,268
152,228,132,681,587,735
153,229,168,207,991,1837
154,141,426,217,243,641
155,244,305,781,1075,616
156,240,203,750,221,276
157,230,239,522,714,453
158,195,221,468,205,398
159,225,231,128,758,727
160,250,211,630,515,696
161,222,175,331,534,824
162,213,136,346,1189,460
163,209,376,418,264,611
164,204,426,671,998,598
165,111,194,244,318,1235
166,149,171,300,1113,1645
167,230,457,135,267,1596
168,119,124,469,690,1320
169,127,283,768,983,646
170,141,418,247,949,765
171,242,381,424,1089,1057
172,102,143,643,322,1683
173,162,161,244,904,1175
174,205,299,679,259,861
175,133,434,373,1204,878
176,187,244,681,801,629
177,147,257,128,728,244
178,105,434,372,942,1680
179,186,325,329,798,399
180,132,257,506,222,612
181,249,179,720,864,1370
182,114,380,609,465,922
183,254,96,186,315,185
184,245,378,150,1086,417
185,211,278,204,1017,314
186,122,122,587,285,796
187,178,284,565,195,1136
188,214,181,262,684,307
189,148,327,626,777,158
190,151,113,402,226,793
191,97,272,317,199,314
192,152,444,662,914,781
193,166,434,655,854,516
194,194,389,590,613,197
195,142,379,268,431,979
196,168,410,209,519,257
197,111,136,625,216,1021
198,247,232,649,179,625
199,215,247,180,1170,612
200,236,143,610,447,232
201,203,415,299,203,310
202,242,221,309,247,428
203,138,255,584,643,893
204,106,96,264,288,907
205,86,157,296,434,1559
206,219,164,398,378,1585
207,152,412,505,351,1072
208,145,294,434,632,1227
209,235,279,693,1118,1115
210,239,412,494,618,1149
211,195,229,634,872,924
212,242,221,210,229,820
213,189,436,740,1063,666
214,147,383,725,766,1085
215,120,203,557,611,945
216,81,154,129,174,524
217,209,211,238,1088,1342
218,221,285,288,450,510
219,71,94,709,1123,247
220,141,377,547,868,690
221,184,111,339,962,1594
222,181,271,624,311,1261
223,108,152,477,233,292
224,154,331,469,318,1510
225,233,320,467,140,1342
226,157,452,132,271,833
227,153,99,308,230,196
228,101,137,158,785,412
229,122,387,157,171,1109
230,139,135,443,489,1167
