,8,9,10,11,12
0,0.76409,0.772195,0.778882,0.784789,0.790256
1,0.771226,0.778461,0.785044,0.79141,0.796816
2,0.775086,0.78257,0.788678,0.794998,0.800412
3,0.778103,0.785196,0.791494,0.797641,0.8032
4,0.780524,0.78751,0.793532,0.799465,0.80523
5,0.782094,0.789232,0.795553,0.801288,0.806879
6,0.783946,0.790839,0.797081,0.802799,0.808467
7,0.785753,0.792262,0.798618,0.804346,0.809869
8,0.787428,0.793884,0.800118,0.805533,0.811005
9,0.788733,0.795263,0.801385,0.806789,0.812146
10,0.790035,0.7964,0.802481,0.807992,0.813373
11,0.791106,0.797637,0.803595,0.809115,0.814464
12,0.792113,0.798765,0.804782,0.810238,0.815623
13,0.793497,0.799921,0.805765,0.811354,0.816617
14,0.795053,0.800959,0.806738,0.8123,0.817647
15,0.796559,0.802081,0.807724,0.813199,0.81854
16,0.797668,0.802977,0.808895,0.814193,0.819423
17,0.798799,0.803884,0.809741,0.815155,0.820225
18,0.799743,0.805241,0.810632,0.816007,0.821143
19,0.800771,0.806113,0.811698,0.816868,0.82195
20,0.801874,0.807156,0.812556,0.817829,0.822713
21,0.80275,0.808026,0.813477,0.818636,0.823514
22,0.803685,0.808934,0.814294,0.819444,0.82441
23,0.804494,0.809703,0.815078,0.820169,0.825144
24,0.80528,0.810479,0.815843,0.820955,0.825868
25,0.805972,0.81121,0.81658,0.821671,0.826651
26,0.806575,0.811807,0.817259,0.82244,0.827412
27,0.80728,0.81254,0.817857,0.823065,0.828203
28,0.807894,0.81305,0.818502,0.823621,0.82884
29,0.808346,0.813569,0.819069,0.824295,0.829404
30,0.808902,0.814091,0.819651,0.824928,0.829902
31,0.809448,0.814657,0.820184,0.82539,0.830436
32,0.809907,0.81516,0.820678,0.825957,0.831007
33,0.810424,0.815634,0.821199,0.826364,0.831501
34,0.810787,0.816115,0.82163,0.826805,0.831911
35,0.811279,0.816449,0.82214,0.827331,0.83245
36,0.81171,0.816933,0.822497,0.827851,0.832873
37,0.812063,0.817253,0.822906,0.828143,0.83321
38,0.812465,0.817749,0.823354,0.828557,0.833678
39,0.81288,0.817992,0.823616,0.828863,0.834048
40,0.813316,0.818335,0.823909,0.829288,0.834397
41,0.813575,0.818611,0.824318,0.829626,0.834929
42,0.813874,0.818961,0.824683,0.830096,0.835442
43,0.81413,0.819234,0.825082,0.830473,0.835674
44,0.814453,0.819509,0.825375,0.830675,0.836087
45,0.814783,0.819858,0.825607,0.831094,0.836452
46,0.815027,0.820218,0.825879,0.831502,0.836656
47,0.815354,0.820564,0.826221,0.831842,0.836879
48,0.815668,0.82084,0.826443,0.832036,0.837324
49,0.815897,0.821174,0.826668,0.832301,0.837723
50,0.816131,0.82166,0.826994,0.832746,0.837872
51,0.816454,0.822018,0.827222,0.833036,0.838156
52,0.816773,0.82237,0.827472,0.833353,0.838378
53,0.817061,0.822496,0.827836,0.83361,0.838663
54,0.817361,0.822703,0.828173,0.833765,0.839014
55,0.817482,0.822863,0.828489,0.834085,0.839406
56,0.817746,0.823165,0.828626,0.834444,0.83973
57,0.817978,0.823336,0.828958,0.834621,0.839949
58,0.818164,0.823577,0.829377,0.834753,0.840276
59,0.818275,0.823856,0.829483,0.835036,0.84059
60,0.818567,0.824116,0.829736,0.835191,0.840768
61,0.818848,0.824381,0.830026,0.835466,0.840882
62,0.819091,0.824478,0.830241,0.835582,0.841144
63,0.819256,0.824662,0.830482,0.835861,0.841468
64,0.81946,0.824879,0.830658,0.836135,0.841566
65,0.819742,0.824984,0.83076,0.836249,0.841782
66,0.819994,0.825199,0.831047,0.836584,0.842024
67,0.820229,0.82544,0.831231,0.836929,0.842221
68,0.820356,0.825586,0.831386,0.837094,0.842332
69,0.820556,0.825761,0.831698,0.837204,0.842767
70,0.820753,0.825899,0.831886,0.837293,0.842981
71,0.820969,0.826179,0.832052,0.837633,0.843264
72,0.821084,0.826262,0.832303,0.837952,0.843639
73,0.821226,0.826549,0.832436,0.838129,0.84401
74,0.821355,0.826645,0.832554,0.838384,0.844132
75,0.821476,0.826869,0.832755,0.838704,0.844222
76,0.821628,0.827075,0.832872,0.838797,0.844404
77,0.82179,0.827365,0.833135,0.83906,0.844611
78,0.82219,0.827462,0.833336,0.839372,0.844914
79,0.822352,0.827656,0.833428,0.839572,0.844998
80,0.822484,0.828051,0.833814,0.839759,0.845338
81,0.82255,0.82814,0.834111,0.840044,0.845667
82,0.822675,0.828258,0.834341,0.840292,0.846012
83,0.822894,0.828348,0.834517,0.840484,0.846225
84,0.823016,0.828506,0.83462,0.840572,0.846523
85,0.823085,0.828753,0.834814,0.840714,0.846794
86,0.823201,0.828904,0.835014,0.840916,0.846852
87,0.823443,0.829155,0.835258,0.84096,0.847018
88,0.823515,0.829273,0.835302,0.8412,0.847086
89,0.823619,0.829428,0.835523,0.841382,0.847321
90,0.823744,0.829593,0.835765,0.841659,0.847617
91,0.823883,0.829807,0.83582,0.841712,0.84788
92,0.824093,0.829846,0.83604,0.841807,0.847959
93,0.82414,0.829993,0.836144,0.842023,0.848254
94,0.82425,0.830233,0.836319,0.842095,0.848312
95,0.824499,0.8304,0.836373,0.842161,0.8486
96,0.824647,0.830605,0.836591,0.842469,0.848844
97,0.824859,0.830696,0.836776,0.842698,0.849084
98,0.825038,0.830761,0.836885,0.842933,0.849214
99,0.825198,0.830889,0.837064,0.843188,0.849309
100,0.825385,0.831016,0.8371,0.843382,0.849489
101,0.825534,0.83124,0.837288,0.843516,0.849539
102,0.825695,0.831416,0.837458,0.843585,0.849925
103,0.825797,0.831465,0.837542,0.84365,0.850196
104,0.825846,0.831518,0.837612,0.843677,0.850352
105,0.82596,0.831721,0.837683,0.843922,0.850616
106,0.826127,0.831836,0.837832,0.844171,0.850858
107,0.826225,0.831956,0.838054,0.84429,0.850896
108,0.826442,0.83225,0.838248,0.844341,0.851005
109,0.826591,0.832418,0.838483,0.844453,0.851206
110,0.826759,0.832473,0.838512,0.844722,0.851371
111,0.826798,0.832572,0.838641,0.844923,0.851423
112,0.826852,0.83274,0.838802,0.845112,0.851612
113,0.826956,0.8328,0.83893,0.845261,0.851926
114,0.826984,0.832966,0.839093,0.845348,0.852208
115,0.827113,0.833137,0.83916,0.845644,0.852282
116,0.827247,0.833318,0.839339,0.845872,0.852391
117,0.827408,0.833383,0.839516,0.845908,0.852431
118,0.827559,0.833551,0.839732,0.845955,0.852664
119,0.827654,0.833587,0.839761,0.846235,0.852712
120,0.827911,0.83371,0.839868,0.846286,0.853027
121,0.827985,0.833905,0.84005,0.846472,0.853258
122,0.828007,0.833928,0.840095,0.846565,0.85331
123,0.828143,0.833999,0.840211,0.846609,0.853463
124,0.82832,0.834126,0.840268,0.846728,0.853516
125,0.828469,0.834289,0.840441,0.8469,0.853552
126,0.828578,0.834412,0.840594,0.846946,0.853788
127,0.828731,0.834507,0.840639,0.847038,0.853917
128,0.828779,0.834644,0.840775,0.847212,0.854072
129,0.828826,0.834796,0.840888,0.847246,0.854303
130,0.828863,0.834932,0.841001,0.847316,0.854346
131,0.828997,0.83504,0.841161,0.847505,0.854397
132,0.829085,0.835104,0.841217,0.847688,0.854534
133,0.829114,0.835191,0.841351,0.847846,0.854753
134,0.8293,0.835359,0.84141,0.847999,0.854864
135,0.829352,0.835475,0.841449,0.848028,0.855107
136,0.829469,0.835586,0.841505,0.848083,0.855134
137,0.829616,0.835733,0.841721,0.848136,0.855285
138,0.829662,0.835764,0.841891,0.848219,0.855522
139,0.829837,0.835811,0.842007,0.848361,0.85572
140,0.83007,0.835925,0.842102,0.848403,0.855748
141,0.830091,0.83603,0.842162,0.848461,0.855948
142,0.830197,0.83612,0.842232,0.848609,0.855973
143,0.830293,0.836137,0.842396,0.84871,0.856013
144,0.830399,0.836191,0.842437,0.848873,0.85607
145,0.830572,0.836331,0.842515,0.848936,0.856151
146,0.830667,0.836453,0.842552,0.849111,0.856316
147,0.830717,0.836571,0.84271,0.849156,0.856522
148,0.830743,0.836682,0.842864,0.849199,0.856659
149,0.830815,0.836705,0.842939,0.849222,0.856712
150,0.830841,0.836808,0.842965,0.849371,0.856856
151,0.83091,0.836899,0.843092,0.849604,0.856884
152,0.831016,0.836926,0.843223,0.849702,0.856992
153,0.831144,0.836959,0.843257,0.849847,0.857211
154,0.831192,0.837095,0.843292,0.849879,0.8573
155,0.831396,0.837192,0.843521,0.850043,0.857371
156,0.831504,0.837243,0.843672,0.850085,0.857403
157,0.83163,0.837332,0.843781,0.850214,0.857471
158,0.831689,0.837369,0.843896,0.850237,0.857515
159,0.831817,0.837428,0.843916,0.850349,0.857607
160,0.831943,0.837471,0.844042,0.850421,0.857711
