,auc_train,auc_valid,leaf_cnt,loss_train,loss_valid
0,0.710821,0.710206,16,0.679473,0.679516
1,0.716688,0.716091,16,0.668043,0.66812
2,0.720155,0.719602,16,0.658702,0.6588
3,0.723881,0.723321,16,0.650484,0.650608
4,0.727377,0.726775,16,0.643167,0.643324
5,0.730435,0.729819,16,0.637364,0.637535
6,0.735436,0.734833,16,0.63246,0.632658
7,0.738382,0.737749,16,0.627195,0.627411
8,0.740335,0.739735,16,0.622771,0.622999
9,0.744264,0.743628,16,0.619072,0.619319
10,0.745889,0.745212,16,0.615057,0.615334
11,0.750249,0.749561,16,0.61079,0.611075
12,0.753749,0.753081,16,0.60738,0.607662
13,0.755326,0.754658,16,0.604924,0.605216
14,0.757892,0.757185,16,0.601492,0.601809
15,0.76065,0.759957,16,0.598921,0.599233
16,0.761709,0.761027,16,0.596707,0.597025
17,0.763523,0.762854,16,0.593758,0.594084
18,0.765471,0.764807,16,0.591923,0.592256
19,0.767437,0.766787,16,0.589747,0.590077
20,0.769118,0.768463,16,0.58761,0.587955
21,0.770122,0.76947,16,0.586087,0.586438
22,0.771436,0.770792,16,0.584374,0.584722
23,0.772581,0.771938,16,0.583069,0.583418
24,0.773639,0.772973,16,0.581347,0.581716
25,0.774755,0.774077,16,0.579751,0.580136
26,0.775926,0.775221,16,0.578304,0.578713
27,0.776691,0.775981,16,0.577308,0.577721
28,0.777512,0.776797,16,0.576012,0.576438
29,0.778314,0.777596,16,0.574813,0.575247
30,0.778823,0.778104,16,0.573736,0.574177
31,0.779639,0.778914,16,0.572774,0.573223
32,0.780398,0.779676,16,0.571821,0.572273
33,0.78112,0.780378,16,0.570998,0.571463
34,0.781683,0.780933,14,0.570231,0.570706
35,0.782322,0.781556,16,0.569402,0.56989
36,0.783083,0.782308,16,0.568431,0.568928
37,0.783708,0.782933,16,0.5674,0.567901
38,0.784276,0.783515,16,0.566587,0.567083
39,0.784761,0.783985,16,0.565949,0.566459
40,0.785217,0.784434,16,0.565176,0.565692
41,0.785747,0.784963,16,0.56444,0.564965
42,0.786227,0.785426,16,0.563797,0.564334
43,0.786607,0.785797,16,0.563237,0.563784
44,0.786779,0.785975,13,0.562701,0.56325
45,0.78698,0.786172,14,0.562148,0.562703
46,0.787301,0.786489,16,0.561402,0.561964
47,0.787559,0.786751,16,0.560948,0.561508
48,0.787875,0.787057,16,0.560451,0.561021
49,0.788086,0.787258,16,0.559911,0.560493
50,0.788487,0.787667,15,0.55944,0.560019
51,0.788798,0.787968,16,0.558873,0.559464
52,0.789168,0.788329,16,0.558448,0.559047
53,0.789374,0.788536,16,0.557969,0.558569
54,0.789575,0.788736,13,0.55762,0.558224
55,0.789687,0.788848,15,0.557181,0.55779
56,0.790284,0.789439,16,0.556257,0.556877
57,0.790635,0.789779,16,0.555787,0.556417
58,0.790976,0.79011,16,0.555406,0.556045
59,0.79142,0.79056,16,0.554795,0.555432
60,0.791582,0.790717,16,0.554541,0.555184
61,0.791786,0.790927,15,0.55427,0.554912
62,0.792024,0.791152,16,0.553975,0.554628
63,0.792211,0.791339,14,0.553706,0.554361
64,0.792577,0.791704,16,0.553281,0.553938
65,0.793132,0.792253,16,0.552404,0.55307
66,0.793404,0.792523,16,0.552026,0.552696
67,0.793536,0.792652,13,0.551765,0.55244
68,0.793968,0.793086,16,0.55115,0.551827
69,0.794174,0.793288,16,0.550857,0.551539
70,0.794523,0.79364,16,0.550232,0.550917
71,0.794647,0.793765,12,0.550059,0.550744
72,0.79486,0.793973,16,0.549762,0.550452
73,0.79503,0.794142,16,0.549376,0.550072
74,0.795229,0.794335,16,0.549038,0.549743
75,0.795456,0.79456,16,0.548735,0.549442
76,0.795636,0.794739,16,0.54851,0.549221
77,0.795815,0.794921,16,0.548256,0.548965
78,0.795944,0.795049,14,0.548054,0.548767
79,0.796058,0.79516,14,0.547826,0.548543
80,0.796239,0.795337,16,0.547603,0.548325
81,0.796361,0.795459,15,0.547357,0.548082
82,0.796556,0.795648,16,0.547151,0.547882
83,0.796813,0.7959,16,0.546838,0.547576
84,0.796959,0.796046,16,0.546608,0.547345
85,0.797209,0.7963,16,0.546126,0.546865
86,0.797343,0.796429,16,0.545872,0.546619
87,0.79753,0.796617,16,0.545594,0.546341
88,0.797719,0.796805,16,0.54537,0.54612
89,0.797925,0.797011,16,0.54514,0.545892
90,0.79799,0.797073,12,0.545024,0.54578
91,0.798106,0.797185,13,0.544872,0.545632
92,0.798205,0.797278,16,0.544706,0.545472
93,0.798341,0.797417,16,0.544519,0.545284
