,leaf_cnt_0,leaf_cnt_1,leaf_cnt_2,valid_loss
0,90,84,90,1.07992
1,88,89,86,1.061746
2,87,88,90,1.044318
3,90,87,86,1.028295
4,88,89,87,1.012525
5,83,88,89,0.997052
6,87,87,86,0.982778
7,87,84,88,0.967959
8,87,90,84,0.95419
9,85,86,90,0.940324
10,88,85,86,0.927329
11,86,85,84,0.914564
12,83,87,81,0.902924
13,88,85,81,0.891004
14,83,86,83,0.879562
15,82,84,84,0.868823
16,86,83,80,0.857849
17,84,84,86,0.847278
18,84,82,83,0.836595
19,80,79,79,0.826143
20,79,83,86,0.81589
21,81,83,81,0.806279
22,80,78,80,0.797142
23,78,82,80,0.788456
24,80,76,80,0.779832
25,80,78,79,0.77076
26,79,78,78,0.762382
27,76,77,79,0.754643
28,80,76,79,0.747123
29,76,76,78,0.73911
30,81,77,77,0.73166
31,77,76,79,0.724053
32,75,71,75,0.716897
33,74,75,75,0.710038
34,73,77,73,0.702656
35,73,73,77,0.696246
36,72,75,73,0.6896
37,73,72,74,0.683051
38,73,73,75,0.676827
39,71,71,70,0.670565
40,70,70,74,0.664571
41,73,72,72,0.658718
42,72,69,72,0.652453
43,67,73,69,0.646499
44,70,72,71,0.640674
45,68,67,68,0.635226
46,67,69,69,0.630085
47,69,67,68,0.624799
48,67,70,65,0.61999
49,64,66,69,0.614937
50,70,67,67,0.609668
51,66,65,66,0.604855
52,66,66,63,0.600014
53,65,65,65,0.59514
54,63,64,66,0.590324
55,66,65,67,0.586092
56,66,66,66,0.581677
57,62,59,63,0.577433
58,63,66,66,0.573072
59,64,64,62,0.569267
60,65,61,63,0.56513
61,58,61,61,0.561278
62,64,60,62,0.557065
63,60,61,58,0.553004
64,62,58,56,0.549312
65,60,58,60,0.545646
66,60,60,62,0.541683
67,60,62,57,0.538078
68,59,58,61,0.534808
69,58,59,56,0.531165
70,56,59,57,0.527584
71,60,60,62,0.524288
72,57,58,59,0.520979
73,60,58,54,0.517657
74,57,57,54,0.514537
75,54,53,54,0.511317
76,58,56,55,0.508306
77,56,53,56,0.505245
78,55,55,54,0.502298
79,56,52,53,0.499502
80,56,52,56,0.496537
81,55,55,55,0.493811
82,54,55,54,0.490933
83,57,51,52,0.487995
84,53,53,54,0.485265
85,53,53,56,0.48237
86,53,52,51,0.479963
87,53,49,52,0.477009
88,54,53,50,0.474286
89,48,50,51,0.471774
90,54,51,51,0.468778
91,50,49,53,0.466185
92,52,52,52,0.463609
93,50,48,49,0.460837
94,53,50,51,0.458526
95,51,48,50,0.45592
96,49,46,47,0.453814
97,50,51,50,0.451373
98,49,50,44,0.449313
99,50,50,46,0.447109
100,46,48,49,0.444942
101,47,47,49,0.442506
102,47,47,48,0.440208
103,48,47,44,0.438227
104,45,42,45,0.435969
105,46,46,49,0.433336
106,46,45,48,0.431672
107,45,47,47,0.429427
108,45,44,49,0.427241
109,47,45,45,0.425284
110,46,47,47,0.423513
111,46,46,46,0.421606
112,46,46,43,0.419645
113,47,43,48,0.41758
114,47,46,45,0.415508
115,46,42,45,0.413727
116,45,41,46,0.411767
117,43,47,44,0.410086
118,42,42,43,0.408248
119,42,42,43,0.406434
120,45,45,44,0.404838
121,43,44,41,0.403137
122,43,40,43,0.401525
123,41,40,42,0.399918
124,41,43,42,0.397889
125,41,42,41,0.396433
126,44,40,41,0.394904
127,42,41,41,0.393096
128,41,40,40,0.391426
129,43,41,43,0.389807
130,38,41,41,0.388238
131,42,42,39,0.386716
132,42,41,40,0.385126
133,43,39,37,0.383577
134,41,40,39,0.382093
135,43,39,39,0.380503
136,41,38,42,0.378939
137,41,38,39,0.377366
138,41,40,40,0.376
139,41,42,40,0.374403
140,39,37,37,0.372834
141,39,37,37,0.371308
142,41,41,38,0.369814
143,42,35,38,0.368406
144,38,38,35,0.366961
145,37,38,37,0.36553
146,39,37,38,0.364174
147,36,36,40,0.362868
148,38,35,37,0.361683
149,36,38,35,0.360221
150,39,35,37,0.358928
151,37,36,37,0.357474
152,38,37,37,0.356216
